seq1	>ref-NC_001874.1 Rhopalosiphum padi virus, complete genome-table6-Dicistroviridae-HMM1600-2142_23.0-ORF78
seq32	>ref-NC_032403.1 Sanxia picorna-like virus 12 strain SXXX24153 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1170-1672_29.0-ORF69
seq33	>ref-NC_032464.1 Beihai mantis shrimp virus 4 strain BHXG23944 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table4-Dicistroviridae-HMM1514-1985_22.0-ORF72
seq34	>ref-NC_032441.1 Beihai mantis shrimp virus 3 strain BHXG26678 hypothetical protein gene, complete cds-table4-Dicistroviridae-HMM1315-1771_15.0-ORF102
seq35	>ref-NC_032420.1 Wenzhou shrimp virus 7 strain beimix73547 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table4-Dicistroviridae-HMM1573-2036_14.0-ORF99
seq36	>ref-NC_032436.1 Shahe picorna-like virus 8 strain SHWC12398 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table4-Dicistroviridae-HMM1297-1768_25.0-ORF67
seq37	>ref-NC_032429.1 Wenling picorna-like virus 2 strain WLJQ104117 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table4-Dicistroviridae-HMM1524-2001_23.0-ORF78
seq38	>ref-NC_032434.1 Beihai mantis shrimp virus 5 strain BHXG25299 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1660-2123_20.0-ORF68
seq39	>ref-NC_032588.1 Beihai picorna-like virus 93 strain BHBJDX18546 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table4-Dicistroviridae-HMM1568-2062_23.0-ORF71
seq40	>ref-NC_032644.1 Beihai picorna-like virus 87 strain BHJJX25970 hypothetical protein gene, complete cds-table6-Dicistroviridae-HMM1483-1950_12.0-ORF134
seq41	>ref-NC_032642.1 Beihai picorna-like virus 82 strain YYSZX17728 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1273-1760_27.0-ORF60
seq42	>ref-NC_032600.1 Beihai picorna-like virus 79 strain BHBJDX18844 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1067-1566_17.0-ORF95
seq43	>ref-NC_032608.1 Beihai picorna-like virus 72 strain BHHK126587 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1489-1951_15.0-ORF105
seq44	>ref-NC_032595.1 Beihai picorna-like virus 90 strain BHWZXX14572 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1581-2067_22.0-ORF53
seq45	>ref-NC_032580.1 Beihai picorna-like virus 84 strain BHTH16053 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1227-1694_17.0-ORF99
seq46	>ref-NC_032582.1 Beihai picorna-like virus 80 strain BHZC36213 hypothetical protein 2 genes, complete cds-table4-Dicistroviridae-HMM1242-1691_26.0-ORF62
seq47	>ref-NC_032529.1 Beihai picorna-like virus 75 strain BHJP52955 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1486-1980_15.0-ORF104
seq48	>ref-NC_032638.1 Beihai picorna-like virus 91 strain BHJJX25930 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table4-Dicistroviridae-HMM1377-1870_26.0-ORF76
seq49	>ref-NC_032610.1 Beihai picorna-like virus 85 strain BHHK129719 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1371-1838_24.0-ORF53
seq50	>ref-NC_032584.1 Beihai picorna-like virus 81 strain HOU149705 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1023-1499_30.0-ORF51
seq51	>ref-NC_032551.1 Beihai picorna-like virus 77 strain BHBei75652 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1398-1882_23.0-ORF62
seq52	>ref-NC_032562.1 Beihai picorna-like virus 71 strain BHXG26494 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1431-1923_23.0-ORF73
seq53	>ref-NC_032598.1 Beihai picorna-like virus 83 strain BHWZXX15514 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds-table6-Dicistroviridae-HMM1509-1976_22.0-ORF74
seq54	>ref-NC_032614.1 Beihai picorna-like virus 74 strain BHHK130969 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1170-1662_29.0-ORF66
seq55	>ref-NC_032579.1 Beihai shrimp virus 1 strain BHBJDX17672 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1785-2270_18.0-ORF94
seq56	>ref-NC_032563.1 Beihai picorna-like virus 54 strain BHNXC41489 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1240-1644_22.0-ORF67
seq57	>ref-NC_032557.1 Beihai picorna-like virus 52 strain BHNXC41485 hypothetical protein gene, complete cds-table6-Dicistroviridae-HMM1382-1807_14.0-ORF114
seq58	>ref-NC_032539.1 Beihai picorna-like virus 100 strain BHNXC41148 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1586-2081_17.0-ORF90
seq59	>ref-NC_032989.1 Wenzhou shrimp virus 4 strain WZRBX43306 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table4-Dicistroviridae-HMM1199-1689_19.0-ORF84
seq60	>ref-NC_033000.1 Hubei picorna-like virus 20 strain WGML146806 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table4-Dicistroviridae-HMM1147-1643_30.0-ORF70
seq61	>ref-NC_032837.1 Wenzhou picorna-like virus 27 strain shrimp14502 hypothetical protein gene, complete cds-table6-Dicistroviridae-HMM1186-1654_17.0-ORF84
seq62	>ref-NC_032969.1 Wenzhou picorna-like virus 35 strain WZRBX39547 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1570-2067_23.0-ORF91
seq63	>ref-NC_032908.1 Wenzhou picorna-like virus 29 strain BHBei77092 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1308-1789_16.0-ORF95
seq64	>ref-NC_032791.1 Wenling picorna-like virus 3 strain WLJQ100015 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1499-1968_23.0-ORF67
seq65	>ref-NC_032928.1 Shahe picorna-like virus 11 strain SHWC13613 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1259-1733_26.0-ORF65
seq66	>ref-NC_032959.1 Wenzhou picorna-like virus 31 strain WZFSL72092 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1259-1774_28.0-ORF63
seq67	>ref-NC_033205.1 Wenzhou picorna-like virus 26 strain WZSLuoII93478 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1394-1885_24.0-ORF75
seq68	>ref-NC_032877.1 Wenzhou channeled applesnail virus 2 strain WZFSL85846 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1620-2120_22.0-ORF74
seq69	>ref-NC_032939.1 Wenzhou picorna-like virus 33 strain WZFSL76563 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1148-1638_28.0-ORF65
seq70	>ref-NC_032975.1 Wenzhou picorna-like virus 28 strain WZRBX42853 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1429-1926_25.0-ORF61
seq71	>ref-NC_032858.1 Wenling crustacean virus 3 strain WLJQ142924 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table4-Dicistroviridae-HMM1535-2026_24.0-ORF74
seq72	>ref-NC_032898.1 Shahe picorna-like virus 10 strain SHWC13586 hypothetical protein gene, complete cds-table6-Dicistroviridae-HMM1161-1667_18.0-ORF83
seq73	>ref-NC_032830.1 Wenling crustacean virus 2 strain WLJQ102135 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1245-1729_27.0-ORF63
seq74	>ref-NC_032863.1 Shahe picorna-like virus 9 strain SHWC0209c12638 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1182-1684_28.0-ORF74
seq75	>ref-NC_033262.1 Sanxia picorna-like virus 5 strain SXXX34146 hypothetical protein and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1328-1711_22.0-ORF54
seq76	>ref-NC_033266.1 Sanxia picorna-like virus 13 strain SXXX34014 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1199-1682_25.0-ORF64
seq77	>ref-NC_032833.1 Changjiang picorna-like virus 11 strain CJLX30672 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1219-1707_27.0-ORF54
seq78	>ref-NC_032801.1 Changjiang crawfish virus 6 strain CJLX30496 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1561-2022_17.0-ORF80
seq79	>ref-NC_033228.1 Sanxia atyid shrimp virus 3 strain SXXX37589 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table4-Dicistroviridae-HMM1291-1776_26.0-ORF61
seq80	>ref-NC_032779.1 Changjiang picorna-like virus 12 strain CJLX29956 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1260-1745_26.0-ORF65
seq81	>ref-NC_032850.1 Changjiang crawfish virus 2 strain CJLX30764 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1152-1664_20.0-ORF88
seq82	>ref-NC_032749.1 Changjiang picorna-like virus 9 strain CJLX26226 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1148-1643_29.0-ORF63
seq83	>ref-NC_033221.1 Sanxia picorna-like virus 11 strain SXXX37695 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1162-1679_30.0-ORF62
seq84	>ref-NC_032823.1 Changjiang picorna-like virus 10 strain CJLX30646 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1249-1749_27.0-ORF55
seq85	>ref-NC_032879.1 Changjiang picorna-like virus 13 strain CJLX40994 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1165-1646_18.0-ORF102
seq86	>ref-NC_032868.1 Changjiang crawfish virus 3 strain CJLX30786 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1225-1738_28.0-ORF65
seq87	>ref-NC_032794.1 Changjiang picorna-like virus 6 strain CJLX30470 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1170-1684_29.0-ORF61
seq88	>ref-NC_032855.1 Changjiang picorna-like virus 8 strain CJLX30776 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1199-1710_19.0-ORF87
seq89	>ref-NC_032774.1 Hubei diptera virus 1 strain SCM51289 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1364-1892_27.0-ORF63
seq90	>ref-NC_033112.1 Hubei picorna-like virus 14 strain QTM26191 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1511-2021_24.0-ORF66
seq91	>ref-NC_032766.1 Hubei orthoptera virus 1 strain ZCM21319 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1468-1971_23.0-ORF71
seq92	>ref-NC_033227.1 Hubei picorna-like virus 22 strain WHSF7472 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table4-Dicistroviridae-HMM1186-1674_28.0-ORF45
seq93	>ref-NC_032860.1 Changjiang picorna-like virus 7 strain CJLX30780 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table4-Dicistroviridae-HMM1131-1653_29.0-ORF67
seq94	>ref-NC_032780.1 Hubei picorna-like virus 16 strain SCM51353 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1302-1826_28.0-ORF56
seq95	>ref-NC_032757.1 Hubei picorna-like virus 15 strain arthropodmix13755 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1534-2076_25.0-ORF71
seq96	>ref-NC_033190.1 Hubei picorna-like virus 25 strain QTM27237 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1238-1717_26.0-ORF66
seq97	>ref-NC_033119.1 Hubei picorna-like virus 18 strain QTM26408 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1376-1859_23.0-ORF65
seq98	>ref-NC_033093.1 Hubei picorna-like virus 55 strain spider134013 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1622-2088_17.0-ORF80
seq99	>ref-NC_032804.1 Biomphalaria virus 1 isolate Brazil, complete genome-table6-Dicistroviridae-HMM1735-2078_15.0-ORF62
seq100	>ref-NC_032825.1 Wenzhou shrimp virus 5 strain shrimp14323 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table4-Dicistroviridae-HMM1255-1743_18.0-ORF99
seq101	>ref-NC_033080.1 Hubei picorna-like virus 2 strain WHBL73152 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1233-1634_23.0-ORF70
seq102	>ref-NC_032996.1 Wenzhou shrimp virus 6 strain WZRBX43423 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table4-Dicistroviridae-HMM1782-2252_14.0-ORF119
seq103	>ref-NC_033069.1 Hubei picorna-like virus 21 strain WHBL73090 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1372-1845_25.0-ORF68
seq104	>ref-NC_033437.1 Wuhan arthropod virus 2 strain WHSF0 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1291-1781_24.0-ORF65
seq105	>ref-NC_033460.1 Wuhan insect virus 11 strain CJLX30623 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1419-1915_25.0-ORF63
seq106	>ref-NC_033733.1 Wuhan millipede virus 3 strain WHWG56524 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table6-Dicistroviridae-HMM1604-2112_22.0-ORF84
seq107	>ref-NC_033722.1 Wuhan insect virus 33 strain WHCCII11871 hypothetical protein 1 and hypothetical protein 2 genes, complete cds-table4-Dicistroviridae-HMM1481-2013_26.0-ORF87
seq108	>ref-NC_033827.1 Beihai picorna-like virus 57 strain BHHQ57630 hypothetical protein gene, complete cds-table6-Dicistroviridae-HMM1518-1929_14.0-ORF90
seq109	>ref-NC_034973.1 Aphis glycines virus 3 isolate S6-IA, partial genome-table4-Dicistroviridae-HMM1481-2013_26.0-ORF88
seq110	>ref-NC_035115.1 Apis dicistrovirus isolate AWD-1151 nonstructural polyprotein and structural polyprotein genes, complete cds-table4-Dicistroviridae-HMM1385-1880_25.0-ORF64
seq111	>ref-NC_035184.1 Big Sioux River virus strain Kenya P9 non-structural polyprotein and structural protein precursor, genes, complete cds-table6-Dicistroviridae-HMM1667-2207_24.0-ORF72
seq112	>nrnt-KX884495 Beihai picorna-like virus 38 strain BHZC37430 hypothetical protein 1 gene, complete cds; and hypothetical protein 2 gene, partial cds.-table6-Dicistroviridae-HMM1251-1595_16.0-ORF85
seq113	>nrnt-KX884487 Beihai picorna-like virus 97 strain BHZC37303 hypothetical protein gene, partial cds.-table1-Dicistroviridae-HMM1088-1545_19.0-ORF71
seq114	>nrnt-KX884335 Wenzhou picorna-like virus 34 strain WZFSL80163 hypothetical protein 1 gene, complete cds; and hypothetical protein 2 gene, partial cds.-table6-Dicistroviridae-HMM1299-1795_27.0-ORF62
seq115	>nrnt-KX883903 Beihai picorna-like virus 76 strain HOU156700 hypothetical protein gene, partial cds.-table6-Dicistroviridae-HMM1238-1717_27.0-ORF65
seq116	>nrnt-KX883724 Hubei picorna-like virus 19 strain SZmix17531 hypothetical protein 1 gene, complete cds; and hypothetical protein 2 gene, partial cds.-table4-Dicistroviridae-HMM1129-1649_31.0-ORF53
seq117	>nrnt-KX883692 Hubei picorna-like virus 23 strain spider70066 hypothetical protein 1 gene, complete cds; and hypothetical protein 2 gene, partial cds.-table6-Dicistroviridae-HMM1379-1894_25.0-ORF62
seq118	>nrnt-KX883322 Beihai picorna-like virus 88 strain BHBJDX16027 hypothetical protein gene, partial cds.-table1-Dicistroviridae-HMM1746-2231_19.0-ORF74
seq119	>nrnt-KX883307 Beihai picorna-like virus 78 strain BHBei73249 hypothetical protein 1 gene, complete cds; and hypothetical protein 2 gene, partial cds.-table6-Dicistroviridae-HMM1108-1594_28.0-ORF59
seq120	>nrnt-KY607723 Macrobrachium rosenbergii dicistrovirus 2 isolate MY13, complete genome.-table6-Dicistroviridae-HMM1334-1838_26.0-ORF71
seq121	>nrnt-MF593921 Solenopsis invicta virus 5 isolate formosa, complete genome.-table6-Dicistroviridae-HMM1425-1940_26.0-ORF65
seq122	>nrnt-KY503023 Dicistroviridae sp. isolate 1840 nonstructural protein gene, complete cds; and capsid protein gene, partial cds.-table6-Dicistroviridae-HMM103-604_37.0-ORF45
seq123	>nrnt-MG662717 Blackbird arilivirus, complete genome.-table6-Dicistroviridae-HMM1726-2220_16.0-ORF108
seq124	>nrnt-MG775312 HVAC-associated RNA virus 1 putative polyprotein genes, complete cds.-table6-Dicistroviridae-HMM1616-1935_14.0-ORF59
seq125	>nrnt-MF190024 Barns Ness breadcrumb sponge dicistro-like virus 1 isolate W21, partial genome.-table4-Dicistroviridae-HMM1062-1553_30.0-ORF49
seq126	>nrnt-MF189974 Caledonia beadlet anemone dicistro-like virus 3 isolate O96, partial genome.-table6-Dicistroviridae-HMM1110-1582_28.0-ORF43
seq127	>nrnt-MF189973 Caledonia beadlet anemone dicistro-like virus 2 isolate I38, partial genome.-table6-Dicistroviridae-HMM1283-1789_28.0-ORF53
seq128	>nrnt-MF189972 Millport beadlet anemone dicistro-like virus 1 isolate V52, partial genome.-table4-Dicistroviridae-HMM346-854_59.0-ORF75
seq129	>nrnt-MF189971 Caledonia beadlet anemone dicistro-like virus 1 isolate H52, partial genome.-table6-Dicistroviridae-HMM1470-1932_23.0-ORF73
seq130	>nrnt-KY286106 Picornavirales Q_sR_OV_011 putative non-structural protein (Q_sR_OV_011_gene1) and putative structural protein (Q_sR_OV_011_gene2) genes, complete cds.-table6-Dicistroviridae-HMM1259-1744_17.0-ORF86
seq131	>nrnt-KY286103 Picornavirales Q_sR_OV_023 putative non-structural protein (Q_sR_OV_023_gene1) and putative structural protein (Q_sR_OV_023_gene2) genes, complete cds.-table6-Dicistroviridae-HMM1462-1945_24.0-ORF58
seq132	>nrnt-KY286102 Picornavirales Q_sR_OV_036 putative non-structural protein (Q_sR_OV_036_gene1) and putative structural protein (Q_sR_OV_036_gene2) genes, complete cds.-table6-Dicistroviridae-HMM1423-1904_24.0-ORF66
seq133	>nrnt-KY286099 Picornavirales Q_sR_OV_042 putative non-structural protein (Q_sR_OV_042_gene1) and putative structural protein (Q_sR_OV_042_gene2) genes, complete cds.-table6-Dicistroviridae-HMM1567-2061_23.0-ORF68
seq134	>nrnt-KY130493 Picornavirales N_OV_008 putative non-structural protein (N_OV_008_gene1) gene, partial cds; and putative structural protein (N_OV_008_gene2) gene, complete cds.-table6-Dicistroviridae-HMM1104-1592_30.0-ORF52
seq135	>nrnt-KX644942 Bat cripavirus clone Bat/CAM/CriV-P17/2013 non-structural polyprotein gene, partial cds; and structural polyprotein gene, complete cds.-table4-Dicistroviridae-HMM455-949_50.0-ORF32
seq136	>nrnt-KX580886 Griffin dicistrovirus nonstructural protein gene, complete cds; and structural polyprotein gene, partial cds.-table6-Dicistroviridae-HMM1282-1763_26.0-ORF52
seq137	>nrnt-DQ286292 Rosy apple aphid virus, complete genome.-table6-Dicistroviridae-HMM1657-2087_14.0-ORF78
seq138	>nrnt-KJ938718 Ancient Northwest Territories cripavirus isolate AnNCV NS and CP genes, partial cds.-table6-Dicistroviridae-HMM7-367_95.0-ORF13
seq139	>nrnt-KJ420969 Arivirus 1 isolate A0197177/6176/2010 non-structural polyprotein and putative capsid genes, complete cds.-table6-Dicistroviridae-HMM1811-2309_21.0-ORF72
seq140	>nrnt-KJ738331 UNVERIFIED: Black queen cell virus non-structural polyprotein-like gene, complete sequence; and structural polyprotein gene, complete cds.-table4-Dicistroviridae-HMM1116-1558_26.0-ORF62
seq141	>nrnt-JQ898341 Nedicistrovirus TFN-2012 isolate NediV nonstructral polyprotein gene, partial cds; and capsid gene, complete cds.-table6-Dicistroviridae-HMM16-435_83.0-ORF17
seq142	>tsa-GEVE01045061.1 TSA: Actinia tenebrosa comp54790_c0_seq1 transcribed RNA sequence-table1-Dicistroviridae-HMM1-100_91.0-ORF5
seq143	>tsa-GEVE01045063.1 TSA: Actinia tenebrosa comp54790_c1_seq1 transcribed RNA sequence-table1-Dicistroviridae-HMM1-182_99.0-ORF7
seq144	>tsa-GEVE01045064.1 TSA: Actinia tenebrosa comp54790_c2_seq1 transcribed RNA sequence-table1-Dicistroviridae-HMM630-807_21.0-ORF27
seq145	>tsa-GAHU01086141.1 TSA: Agave tequilana Locus44004v1rpkm2.15 transcribed RNA sequence-table6-Dicistroviridae-HMM1228-1760_29.0-ORF57
seq146	>tsa-GBUA01012452.1 TSA: Alysson spinosus C153378_a_14_0_l_3155 transcribed RNA sequence-table1-Dicistroviridae-HMM742-1051_29.0-ORF28
seq147	>tsa-GBUA01012649.1 (REVERSE SENSE) TSA: Alysson spinosus C154488_a_35_0_l_3588 transcribed RNA sequence-table4-Dicistroviridae-HMM1-166_14.0-ORF100
seq148	>tsa-GEZL01186914.1 TSA: Ambrosia artemisiifolia TR75557_c0_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM1-105_98.0-ORF6
seq149	>tsa-GFUZ01006378.1 TSA: Amphizoa insolens c14251_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM13-100_86.0-ORF3
seq150	>tsa-GAJW01000027.1 TSA: Aphis craccivora Aphis_trimmed_contig_29 transcribed RNA sequence-table6-Dicistroviridae-HMM1-295_84.0-ORF13
seq151	>tsa-GAJW01000028.1 TSA: Aphis craccivora Aphis_trimmed_contig_30 transcribed RNA sequence-table6-Dicistroviridae-HMM1-295_84.0-ORF12
seq152	>tsa-GAJW01000050.1 TSA: Aphis craccivora Aphis_trimmed_contig_52 transcribed RNA sequence-table6-Dicistroviridae-HMM1060-1308_18.0-ORF61
seq153	>tsa-GAZV01037943.1 TSA: Apis mellifera comp13466_c0_seq1 transcribed RNA sequence-table6-Dicistroviridae-HMM832-1347_22.0-ORF73
seq154	>tsa-GAZV01037944.1 TSA: Apis mellifera comp13466_c0_seq2 transcribed RNA sequence-table1-Dicistroviridae-HMM219-477_53.0-ORF17
