seq1	>ref-NC_002797.1 Discula destructiva virus 1 segment 1, complete genome-table6-Partitiviridae-HMM91-516_71.0-ORF20
seq48	>ref-NC_030480.1 Pseudogymnoascus destructans virus isolate PdV80251 RNA-dependent RNA polymerase gene, complete cds-table6-Partitiviridae-HMM167-495_60.0-ORF15
seq49	>ref-NC_030875.1 Sophora japonica powdery mildew-associated partitivirus isolate HBJZ1510 segment RNA1 putative RNA-dependent RNA polymerase gene, complete cds-table6-Partitiviridae-HMM71-537_71.0-ORF16
seq50	>ref-NC_030882.1 Fusarium poae virus 1-240374 genomic RNA, segment 1, complete sequence, strain: 240374-table6-Partitiviridae-HMM161-639_62.0-ORF20
seq51	>ref-NC_030878.1 Fusarium poae partitivirus 2 genomic RNA, segment 1, complete sequence-table6-Partitiviridae-HMM196-673_61.0-ORF20
seq52	>ref-NC_030889.1 Arabidopsis halleri partitivirus 1 genomic RNA, segment 1, complete sequence-table6-Partitiviridae-HMM77-558_73.0-ORF16
seq53	>ref-NC_031134.1 Cannabis cryptic virus isolate hemp09 RNA-dependent RNA polymerase gene, complete cds-table6-Partitiviridae-HMM194-682_61.0-ORF22
seq54	>ref-NC_032130.1 Wuhan large pig roundworm virus 1 strain WHZHC73278 segment Seg 1 RdRp gene, complete cds-table6-Partitiviridae-HMM150-442_63.0-ORF15
seq55	>ref-NC_032133.1 Beihai barnacle virus 13 strain BHTH16173 segment Seg 1 RdRp gene, complete cds-table6-Partitiviridae-HMM31-439_82.0-ORF20
seq56	>ref-NC_032131.1 Xinzhou partiti-like virus 1 strain XZSJSC65291 segment Seg 1 RdRp gene, complete cds-table4-Partitiviridae-HMM196-484_56.0-ORF19
seq57	>ref-NC_032156.1 Hubei diptera virus 18 strain SCM37169 segment Seg 1 RdRp gene, complete cds-table6-Partitiviridae-HMM191-482_50.0-ORF15
seq58	>ref-NC_032146.1 Wuhan insect virus 23 strain WHCCII13263 segment Seg 1 RdRp gene, complete cds-table6-Partitiviridae-HMM38-436_80.0-ORF18
seq59	>ref-NC_032139.1 Hubei partiti-like virus 11 strain QTM25188 segment Seg 1 RdRp gene, complete cds-table4-Partitiviridae-HMM167-460_51.0-ORF18
seq60	>ref-NC_032518.1 Beihai barnacle virus 12 strain BHTH16091 segment Seg 1 RdRp gene, complete cds-table4-Partitiviridae-HMM168-466_52.0-ORF7
seq61	>ref-NC_032500.1 Beihai partiti-like virus 2 strain BHZY60797 segment Seg 1 RdRp gene, complete cds-table6-Partitiviridae-HMM157-453_53.0-ORF17
seq62	>ref-NC_033301.1 Hubei diptera virus 17 strain SCM172187 segment Seg 1 RdRp gene, complete cds-table6-Partitiviridae-HMM159-460_53.0-ORF15
seq63	>ref-NC_033313.1 Hubei tetragnatha maxillosa virus 8 strain arthropodmix13417 segment Seg 1 RdRp gene, complete cds-table6-Partitiviridae-HMM172-473_50.0-ORF20
seq64	>ref-NC_033447.1 Wuhan Millipede virus 4 strain GCM8225 segment Seg 1 RdRp gene, complete cds-table4-Partitiviridae-HMM199-482_48.0-ORF21
seq65	>ref-NC_033485.1 Wuhan fly virus 5 strain fly34516 segment Seg 1 RdRp gene, complete cds-table6-Partitiviridae-HMM181-458_49.0-ORF16
seq66	>ref-NC_033770.1 Spinach cryptic virus 1 isolate SRR1766311 RNA-dependent RNA polymerase (RdRp) gene, complete cds-table6-Partitiviridae-HMM192-575_59.0-ORF13
seq67	>ref-NC_033764.1 Wuhan cricket virus 2 strain WHXS3745 segment Seg 1 RdRp gene, complete cds-table4-Partitiviridae-HMM159-461_54.0-ORF20
seq68	>ref-NC_033851.1 Wuhan insect virus 22 strain arthropodmix13806 segment Seg 1 RdRp gene, complete cds-table6-Partitiviridae-HMM217-521_51.0-ORF17
seq69	>ref-NC_034159.1 Pepper cryptic virus 2 isolate HW-01 segment RNA1, complete sequence-table6-Partitiviridae-HMM73-491_77.0-ORF18
seq70	>ref-NC_034514.1 Bipolaris maydis partitivirus 1 strain JZ04 segment RNA1, complete sequence-table4-Partitiviridae-HMM186-547_57.0-ORF23
seq71	>ref-NC_034513.1 Carnation cryptic virus 3 segment RNA1, complete sequence-table4-Partitiviridae-HMM74-480_77.0-ORF20
seq72	>ref-NC_034615.1 Zostera marina amalgavirus 2 isolate SRP035489-2, complete genome-table1-Partitiviridae-HMM325-455_16.0-ORF32
seq73	>ref-NC_032150.2 Rhizoctonia solani dsRNA virus 3 segment 1, complete sequence-table4-Partitiviridae-HMM93-544_72.0-ORF14
seq74	>ref-NC_035119.1 Wilkie partiti-like virus 2 strain mosWSCP53020, complete genome-table4-Partitiviridae-HMM47-494_79.0-ORF20
seq75	>ref-NC_035122.1 Wilkie partiti-like virus 1 strain mosWSCP36002, complete genome-table6-Partitiviridae-HMM70-560_70.0-ORF20
seq76	>ref-NC_024014.1 Arhar cryptic virus-I segment RNA-1, strain Hyderabad-table6-Partitiviridae-HMM64-469_80.0-ORF17
seq77	>ref-NC_035485.1 Heterobasidion partitivirus 7 RNA 1, complete sequence-table6-Partitiviridae-HMM123-425_39.0-ORF22
seq78	>ref-NC_037095.1 Pepper cryptic virus 1 isolate Jal-01 segment RNA1, complete sequence-table6-Partitiviridae-HMM74-488_79.0-ORF14
seq79	>ref-NC_036603.1 Rosellinia necatrix partitivirus 8 genomic RNA, segment RNA 1, complete sequence, strain: Rn-Bb-table6-Partitiviridae-HMM205-684_58.0-ORF17
seq80	>nrnt-MF372918 (REVERSE SENSE) Maize associated partiti-like virus isolate SS9A RdRp gene, partial cds.-table6-Partitiviridae-HMM85-485_66.0-ORF47
seq81	>nrnt-LC221826 Pear alphapartitivirus gene for RNA-dependent RNA polymerase, complete cds, segment: dsRNA1.-table6-Partitiviridae-HMM188-550_56.0-ORF20
seq82	>nrnt-LC333747 Rosellinia necatrix partitivirus 9 gene for RNA-dependent RNA polymerase, complete cds, contig: Pool-2_105.-table6-Partitiviridae-HMM217-583_55.0-ORF16
seq83	>nrnt-LC333736 Rosellinia necatrix partitivirus 10 gene for RNA-dependent RNA polymerase, complete cds, contig: Pool-1_32.-table6-Partitiviridae-HMM78-539_74.0-ORF16
seq84	>nrnt-MG566085 Heterobasidion partitivirus 20 isolate an1-a RNA-dependent RNA polymerase (RdRp) gene, complete cds.-table6-Partitiviridae-HMM169-552_58.0-ORF22
seq85	>nrnt-KY420052 Podosphaera prunicola partitivirus 4 isolate cpm 4 RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM159-640_61.0-ORF24
seq86	>nrnt-KY420050 Podosphaera prunicola partitivirus 3 isolate cpm 3 RNA-dependent RNA polymerase gene, complete cds.-table4-Partitiviridae-HMM182-571_60.0-ORF23
seq87	>nrnt-KY420047 Podosphaera prunicola partitivirus 1 isolate cpm 1 RNA-dependent RNA polymerase gene, complete cds.-table4-Partitiviridae-HMM48-513_78.0-ORF20
seq88	>nrnt-MF375891 Entoleuca partitivirus 2 replicase gene, partial cds.-table1-Partitiviridae-HMM1-407_80.0-ORF7
seq89	>nrnt-MF375890 Entoleuca partitivirus 1 replicase gene, complete cds.-table4-Partitiviridae-HMM156-540_63.0-ORF20
seq90	>nrnt-KY420043 Erysiphe necator partitivirus 2 isolate gpm 2 RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM59-523_77.0-ORF16
seq91	>nrnt-KY420041 Erysiphe necator partitivirus 1 isolate gpm 1 RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM61-524_75.0-ORF13
seq92	>nrnt-MF346350 Vespa velutina partiti-like virus 1 isolate MG17VV2 RdRp gene, partial cds.-table6-Partitiviridae-HMM73-445_73.0-ORF16
seq93	>nrnt-KY296405 Sodiomyces alkalinus partitivirus 1 RNA-dependent RNA polymerase gene, complete cds.-table4-Partitiviridae-HMM179-657_62.0-ORF25
seq94	>nrnt-MF443258 Medicago sativa deltapartitivirus 1 RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM70-483_78.0-ORF21
seq95	>nrnt-MF443256 Medicago sativa alphapartitivirus 1 RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM74-561_76.0-ORF20
seq96	>nrnt-KX976461 Pleurotus ostreatus spherical virus isolate PoSV-1 RNA-dependent RNA polymerase gene, partial cds.-table1-Partitiviridae-HMM36-512_79.0-ORF18
seq97	>nrnt-KX981863 Magnaporthe oryzae partitivirus 2 RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM184-516_58.0-ORF18
seq98	>nrnt-KX914902 Rhizoctonia solani partitivirus virus 4 isolate 4-HG81 putative RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM207-579_56.0-ORF22
seq99	>nrnt-KX914900 Rhizoctonia solani partitivirus virus 3 isolate 3-HG81 putative RNA-dependent RNA polymerase gene, complete cds.-table4-Partitiviridae-HMM195-584_58.0-ORF18
seq100	>nrnt-MF141076 Norway partiti-like virus 1 isolate NOR/S5/Kilen/2014 RNA-dependent RNA-polymerase gene, complete cds.-table4-Partitiviridae-HMM156-461_56.0-ORF10
seq101	>nrnt-KU291921 Ceratobasidium partitivirus isolate RdRp-9 RNA-dependent RNA polymerase gene, partial cds.-table4-Partitiviridae-HMM59-506_88.0-ORF16
seq102	>nrnt-KU291920 Ceratobasidium partitivirus isolate RdRp-8 RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM178-513_64.0-ORF17
seq103	>nrnt-KU291919 Ceratobasidium partitivirus isolate RdRp-7 RNA-dependent RNA polymerase gene, partial cds.-table4-Partitiviridae-HMM86-552_78.0-ORF14
seq104	>nrnt-KU291918 Ceratobasidium partitivirus isolate RdRp-6 RNA-dependent RNA polymerase gene, partial cds.-table4-Partitiviridae-HMM215-584_60.0-ORF19
seq105	>nrnt-KU291917 Ceratobasidium partitivirus isolate RdRp-5 RNA-dependent RNA polymerase gene, complete cds.-table4-Partitiviridae-HMM64-532_73.0-ORF19
seq106	>nrnt-KU291916 Ceratobasidium partitivirus isolate RdRp-4 RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM224-599_56.0-ORF16
seq107	>nrnt-KU291915 Ceratobasidium partitivirus isolate RdRp-3 RNA-dependent RNA polymerase gene, partial cds.-table1-Partitiviridae-HMM181-657_67.0-ORF24
seq108	>nrnt-KU291914 Ceratobasidium partitivirus isolate RdRp-2 RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM198-668_61.0-ORF23
seq109	>nrnt-KU291913 Ceratobasidium partitivirus isolate RdRp-1 RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM211-690_58.0-ORF20
seq110	>nrnt-HM560703 Beet cryptic virus 2 segment dsRNA1, complete sequence.-table6-Partitiviridae-HMM72-490_79.0-ORF17
seq111	>nrnt-KY884720 Cryptosporidium parvum virus 1 strain Iowa segment dsRNA1, complete sequence.-table6-Partitiviridae-HMM77-495_68.0-ORF16
seq112	>nrnt-KY695009 Spinach deltapartitivirus 1 isolate SRP059420 segment RNA1 RNA-dependent RNA polymerase gene, complete cds.-table4-Partitiviridae-HMM71-478_79.0-ORF21
seq113	>nrnt-LC010950 Rosellinia necatrix partitivirus 3 RdRp gene for RNA dependent RNA polymerase, complete cds, strain: W1029.-table6-Partitiviridae-HMM159-632_61.0-ORF22
seq114	>nrnt-LN896305 Beauveria bassiana partitivirus 2 RdRp gene for RNA dependent RNA polymerase.-table6-Partitiviridae-HMM186-518_55.0-ORF24
seq115	>nrnt-LN896303 Beauveria bassiana partitivirus 1 RdRp gene for RNA dependent RNA polymerase.-table6-Partitiviridae-HMM92-520_72.0-ORF18
seq116	>nrnt-KX354971 Lentinula edodes partitivirus 1 isolate LeSX12 putative RNA-dependent RNA polymerase (RdRp) gene, complete cds.-table4-Partitiviridae-HMM140-620_62.0-ORF23
seq117	>nrnt-KY352402 Alternaria alternata partitivirus 1 isolate Avi1 segment RNA1, complete sequence.-table6-Partitiviridae-HMM115-541_69.0-ORF18
seq118	>nrnt-KY081285 Citrullus lanatus cryptic virus segment RNA1, complete sequence.-table6-Partitiviridae-HMM79-478_74.0-ORF20
seq119	>nrnt-KX148579 Partitivirus-like 5 RdRp gene, partial cds.-table1-Partitiviridae-HMM133-610_68.0-ORF26
seq120	>nrnt-KX148577 Partitivirus-like 3 RdRp gene, complete cds.-table6-Partitiviridae-HMM153-442_50.0-ORF18
seq121	>nrnt-KX148575 Partitivirus-like 1 RdRp gene, partial cds.-table1-Partitiviridae-HMM100-397_62.0-ORF14
seq122	>nrnt-LC062724 Rosellinia necatrix partitivirus 6 RdRp-D4 gene for defective RNA dependent RNA polymerase, complete cds, segment: 1, laboratory isolate: W113-DI-4.-table4-Partitiviridae-HMM335-556_33.0-ORF17
seq123	>nrnt-LC062720 Rosellinia necatrix partitivirus 6 RdRp-D0 gene for defective RNA dependent RNA polymerase, complete cds, segment: 1, laboratory isolate: W113-DI-0.-table6-Partitiviridae-HMM311-513_31.0-ORF15
seq124	>nrnt-KU747155 Purpureocillium lilacinum nonsegmented virus 1 fusion protein, hypothetical protein, and putative RNA-dependent RNA polymerase genes, complete cds.-table6-Partitiviridae-HMM477-735_30.0-ORF28
seq125	>nrnt-EU082132 Black raspberry cryptic virus isolate CRUB 9013 RNA-dependent RNA polymerase gene, partial cds.-table6-Partitiviridae-HMM60-407_84.0-ORF13
seq126	>nrnt-AY973825 Pinus sylvestris partitivirus NL-2005 putative RNA-dependent RNA polymerase gene, partial cds.-table1-Partitiviridae-HMM16-331_87.0-ORF15
seq127	>nrnt-KX349061 Rhizoctonia solani partitivirus 1 RNA-dependent RNA polymerase (RdRp) gene, partial cds.-table1-Partitiviridae-HMM5-332_96.0-ORF10
seq128	>nrnt-AF251278 Nectria radicicola virus L1 putative RNA-dependent RNA polymerase gene, partial cds.-table1-Partitiviridae-HMM237-359_28.0-ORF13
seq129	>nrnt-KU896858 Rose partitivirus isolate PB segment dsRNA1, complete sequence.-table6-Partitiviridae-HMM73-557_75.0-ORF17
seq130	>nrnt-KU299048 Rhizoctonia solani partitivirus 1 strain OA-1 RNA-dependent RNA polymerase gene, partial cds.-table1-Partitiviridae-HMM163-536_61.0-ORF22
seq131	>nrnt-KT598244 Soybean leaf-associated partitivirus 2 segment RNA1 RNA-dependent RNA polymerase gene, partial cds.-table4-Partitiviridae-HMM66-526_75.0-ORF17
seq132	>nrnt-KT598242 Soybean leaf-associated partitivirus 1 segment RNA1 RNA-dependent RNA polymerase gene, partial cds.-table6-Partitiviridae-HMM81-547_72.0-ORF12
seq133	>nrnt-LN680393 Pittosporum cryptic virus-1 RdRp gene for RNA dependent RNA polymerase, segment RNA1, isolate Pit-MAIB.-table6-Partitiviridae-HMM86-489_74.0-ORF11
seq134	>nrnt-AP014920 Diatom colony associated virus-Like RNA Segment 7 genomic RNA, complete sequence.-table6-Partitiviridae-HMM64-530_79.0-ORF18
seq135	>nrnt-AP014906 Diatom colony associated dsRNA virus 14 genomic RNA, segment: 1, complete sequence.-table6-Partitiviridae-HMM196-481_54.0-ORF13
seq136	>nrnt-KT343866 Cucurbitaria piceae virus 1 isolate Ore Mountains 2 segment 1, complete sequence.-table6-Partitiviridae-HMM149-622_63.0-ORF21
seq137	>nrnt-KT285019 Raphanus sativus partitivirus 1 isolate TDQ1 RNA dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM69-550_75.0-ORF18
seq138	>nrnt-LC076694 Rosellinia necatrix partitivirus 7 genomic RNA, segment 1, complete sequence, strain: W1142.-table6-Partitiviridae-HMM183-567_58.0-ORF19
seq139	>nrnt-LC006130 Fusarium solani partitivirus 2 gene for RNA-dependent RNA polymerase, complete cds.-table6-Partitiviridae-HMM188-565_58.0-ORF17
seq140	>nrnt-KP757933 (REVERSE SENSE) Drosophila-associated Partitiviridae-like 6 clone DmelPartitiLike_6 genomic sequence.-table6-Partitiviridae-HMM137-537_68.0-ORF40
seq141	>nrnt-KP757931 Drosophila-associated Partitiviridae-like 4 clone DmelPartitiLike_4 genomic sequence.-table6-Partitiviridae-HMM40-443_81.0-ORF16
seq142	>nrnt-KP757929 (REVERSE SENSE) Drosophila-associated Partitiviridae-like 2 clone DmelPartitiLike_2 genomic sequence.-table6-Partitiviridae-HMM201-488_47.0-ORF47
seq143	>nrnt-KP757928 (REVERSE SENSE) Drosophila-associated Partitiviridae-like 7 clone DmelPartitiLike_7 genomic sequence.-table6-Partitiviridae-HMM196-501_52.0-ORF38
seq144	>nrnt-JN606085 Heterobasidion partitivirus 9 isolate HetPV9-pa1 RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM225-591_54.0-ORF14
seq145	>nrnt-KF963186 Heterobasidion partitivirus 15 strain HetPV15-pa1 RNA-dependent RNA polymerase gene, complete cds.-table4-Partitiviridae-HMM77-534_74.0-ORF11
seq146	>nrnt-KF963185 Heterobasidion partitivirus 14 strain HetPV14-ir1 RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM80-537_76.0-ORF16
seq147	>nrnt-KF963177 Heterobasidion partitivirus 13 strain HetPV13-an1 RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM91-549_73.0-ORF17
seq148	>nrnt-KF963175 Heterobasidion partitivirus 12 strain HetPV12-an1 RNA-dependent RNA polymerase gene, complete cds.-table4-Partitiviridae-HMM94-552_74.0-ORF14
seq149	>nrnt-KM657430 Rhizoctonia solani virus 717 isolate SM03 segment RNA1, complete sequence.-table6-Partitiviridae-HMM90-544_72.0-ORF16
seq150	>nrnt-KM668042 Rhizoctonia fumigata partitivirus isolate C-314 putative RNA-dependent RNA polymerase gene, complete cds.-table4-Partitiviridae-HMM211-582_56.0-ORF17
seq151	>nrnt-KJ476945 Verticillium albo-atrum partitivirus-1 isolate Va383-2 segment RNA1, complete sequence.-table6-Partitiviridae-HMM83-509_76.0-ORF17
seq152	>nrnt-KC469948 Ustilaginoidea virens partitivirus 3 isolate HNHS-1 segment 2 RDRP gene, complete cds.-table6-Partitiviridae-HMM161-489_57.0-ORF25
seq153	>nrnt-JX625227 Heterobasidion partitivirus 8 strain HetPV8-ir1 RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM161-637_63.0-ORF20
seq154	>nrnt-KC572132 Colletotrichum acutatum RNA virus 1 isolate CaRV1 RNA-dependent RNA polymerase (RDRP) gene, complete cds.-table6-Partitiviridae-HMM75-502_72.0-ORF18
seq155	>nrnt-JX297511 Sclerotinia sclerotiorum partitivirus 1 strain SsPV1-WF-1 RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM143-616_62.0-ORF17
seq156	>nrnt-KJ873060 Heterobasidion partitivirus 17 strain ir1 RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM213-579_55.0-ORF17
seq157	>nrnt-KF680478 Ustilaginoidea virens partitivirus 2 strain HP-30 RNA-dependent RNA polymerase gene, complete cds.-table4-Partitiviridae-HMM124-604_68.0-ORF17
seq158	>nrnt-KF688740 Botryosphaeria dothidea partitivirus 1 isolate LW-1 segment RNA 1 putative RNA-dependent RNA polymerase (RdRp) gene, complete cds.-table4-Partitiviridae-HMM115-524_68.0-ORF17
seq159	>nrnt-KJ722537 Botryosphaeria dothidea virus 1 isolate YDJ-08 RNA-dependent RNA polymerase (RDRP) gene, complete cds.-table6-Partitiviridae-HMM82-503_71.0-ORF17
seq160	>nrnt-GU108584 Grapevine associated partitivirus-1 isolate Ctg474 putative RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM162-635_63.0-ORF18
seq161	>nrnt-HG005155 Uncultured alphacryptovirus RdRp gene for RNA dependent RNA polymerase, segment RNA1, isolate BG sensitive 1.-table6-Partitiviridae-HMM202-586_58.0-ORF18
seq162	>nrnt-HG005154 Uncultured partitivirus partial RdRp gene for RNA dependent RNA polymerase, segment RNA1, isolate LOL resistant 4.-table6-Partitiviridae-HMM94-359_71.0-ORF8
seq163	>nrnt-KF697164 Cytospora sacchari partitivirus MP-2014 RNA-dependent RNA polymerase (RdRp) gene, partial cds.-table4-Partitiviridae-HMM92-422_77.0-ORF15
seq164	>nrnt-FN376847 Aspergillus fumigatus partitivirus 1 RdRp gene for RNA-dependent RNA polymerase, segment 1, genomic RNA, isolate 88.-table6-Partitiviridae-HMM74-494_73.0-ORF17
seq165	>nrnt-HM565953 Heterobasidion partitivirus 2 isolate HetRV2-pa1 putative RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM124-420_38.0-ORF21
seq166	>nrnt-JX971982 Crimson clover cryptic virus 2 isolate IPP_IncarnatSK segment RNA 1, complete sequence.-table6-Partitiviridae-HMM183-671_63.0-ORF21
seq167	>nrnt-JX156424 Diuris pendunculata cryptic virus isolate SW3.3 polyprotein gene, complete cds.-table4-Partitiviridae-HMM183-587_61.0-ORF20
