seq1	>ref-NC_004049.1 Ophiostoma mitovirus 3a, complete genome-table4-Narnaviridae-HMM157-525_50.0-ORF27
seq43	>ref-NC_032485.1 Beihai narna-like virus 18 strain HOU157597 RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM577-727_13.0-ORF33
seq44	>ref-NC_032416.1 Beihai narna-like virus 14 strain BHJP52694 RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM524-713_18.0-ORF32
seq45	>ref-NC_032450.1 Beihai narna-like virus 24 strain BHXG26712 hypothetical protein and RNA-dependent RNA polymerase genes, complete cds-table6-Narnaviridae-HMM334-563_25.0-ORF23
seq46	>ref-NC_032415.1 Beihai narna-like virus 16 strain BHJP26864 RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM198-389_23.0-ORF28
seq47	>ref-NC_032410.1 Beihai narna-like virus 26 strain BHHQ66335 RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM223-464_32.0-ORF24
seq48	>ref-NC_032497.1 Beihai narna-like virus 17 strain SCJXSX39297 RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM768-928_12.0-ORF43
seq49	>ref-NC_033144.1 Wenzhou narna-like virus 7 strain WZFSL82100 RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM348-529_19.0-ORF31
seq50	>ref-NC_033049.1 Wenling narna-like virus 7 strain WLJQ103612 RNA-dependent RNA polymerase and hypothetical protein genes, complete cds-table4-Narnaviridae-HMM346-587_26.0-ORF12
seq51	>ref-NC_032762.1 Shahe narna-like virus 5 strain SHWC0209c20055 RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM3-308_54.0-ORF20
seq52	>ref-NC_033171.1 Wenzhou narna-like virus 8 strain WZRBX43201 RNA-dependent RNA polymerase gene, complete cds-table4-Narnaviridae-HMM475-707_26.0-ORF24
seq53	>ref-NC_033064.1 Wenling narna-like virus 9 strain WLJQ205243 RNA-dependent RNA polymerase gene, complete cds-table4-Narnaviridae-HMM318-589_31.0-ORF29
seq54	>ref-NC_032796.1 Shahe narna-like virus 7 strain SHWC0209c12713 RNA-dependent RNA polymerase gene, complete cds-table4-Narnaviridae-HMM182-507_44.0-ORF22
seq55	>ref-NC_032828.1 Sanxia water strider virus 13 strain SXSSP2578 RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM269-493_29.0-ORF22
seq56	>ref-NC_033038.1 Wenling narna-like virus 5 strain WLJQ94194 RNA-dependent RNA polymerase gene, complete cds-table4-Narnaviridae-HMM217-427_35.0-ORF19
seq57	>ref-NC_033177.1 Wenzhou narna-like virus 9 strain WZSLuoI85295 RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM692-907_16.0-ORF43
seq58	>ref-NC_033033.1 Wenling narna-like virus 4 strain WLJQ103797 RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM205-436_38.0-ORF21
seq59	>ref-NC_032792.1 Shahe narna-like virus 2 strain SHWC0209c12594 RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM494-664_16.0-ORF31
seq60	>ref-NC_033124.1 Changjiang narna-like virus 3 strain CJLX30350 RNA-dependent RNA polymerase and hypothetical protein genes, complete cds-table4-Narnaviridae-HMM313-511_22.0-ORF27
seq61	>ref-NC_032835.1 Sanxia narna-like virus 1 strain SXXX35820 RNA-dependent RNA polymerase and hypothetical protein genes, complete cds-table6-Narnaviridae-HMM312-510_23.0-ORF26
seq62	>ref-NC_033118.1 Changjiang narna-like virus 1 strain CJLX30050 RNA-dependent RNA polymerase gene, complete cds-table4-Narnaviridae-HMM481-645_16.0-ORF28
seq63	>ref-NC_033143.1 Changjiang narna-like virus 4 strain CJLX30771 RNA-dependent RNA polymerase gene, complete cds-table4-Narnaviridae-HMM651-856_16.0-ORF47
seq64	>ref-NC_033249.1 Hubei narna-like virus 21 strain QCM13322 hypothetical protein and RNA-dependent RNA polymerase genes, complete cds-table6-Narnaviridae-HMM303-569_27.0-ORF29
seq65	>ref-NC_033253.1 Hubei narna-like virus 15 strain QCM133922 RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM355-517_17.0-ORF22
seq66	>ref-NC_033257.1 Hubei mosquito virus 3 strain 3mos6141 RNA-dependent RNA polymerase and hypothetical protein genes, complete cds-table4-Narnaviridae-HMM259-466_30.0-ORF16
seq67	>ref-NC_032821.1 Hubei narna-like virus 5 strain SSZZ3007 RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM365-582_24.0-ORF32
seq68	>ref-NC_032861.1 Hubei narna-like virus 22 strain SZmix20730 RNA-dependent RNA polymerase gene, complete cds-table4-Narnaviridae-HMM284-576_36.0-ORF27
seq69	>ref-NC_033234.1 Hubei narna-like virus 17 strain mosHB204971 RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM312-538_23.0-ORF25
seq70	>ref-NC_032870.1 Hubei narna-like virus 23 strain SZmix21602 RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM234-465_31.0-ORF21
seq71	>ref-NC_033259.1 Hubei narna-like virus 19 strain QTM26970 RNA-dependent RNA polymerase and hypothetical protein genes, complete cds-table6-Narnaviridae-HMM273-485_27.0-ORF24
seq72	>ref-NC_032867.1 Hubei narna-like virus 12 strain SZmix21586 RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM681-888_15.0-ORF38
seq73	>ref-NC_032727.1 Hubei narna-like virus 25 strain SCM51430 RNA-dependent RNA polymerase gene, complete cds-table4-Narnaviridae-HMM146-502_50.0-ORF27
seq74	>ref-NC_033471.1 Wuhan insect virus 18 strain CC63583 RNA-dependent RNA polymerase gene, complete cds-table4-Narnaviridae-HMM333-569_26.0-ORF22
seq75	>ref-NC_033729.1 Phomopsis longicolla RNA virus 1 isolate KY RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM170-554_51.0-ORF28
seq76	>ref-NC_035114.1 Neofusicoccum luteum mitovirus 1 isolate CAP037, complete genome-table4-Narnaviridae-HMM142-515_51.0-ORF20
seq77	>ref-NC_035126.1 Wilkie narna-like virus 1 strain mosWSCP70929, complete genome-table4-Narnaviridae-HMM381-710_33.0-ORF37
seq78	>ref-NC_035121.1 Point-Douro narna-like virus strain mos172gb29666, complete genome-table6-Narnaviridae-HMM346-594_26.0-ORF30
seq79	>ref-NC_035463.1 Ocimum basilicum RNA virus 2 isolate MV1 RNA-dependent RNA polymerase gene, complete cds-table6-Narnaviridae-HMM381-705_35.0-ORF24
seq80	>nrnt-KX373304 Leptomonas seymouri RNA virus strain OSUE1 RNA-dependent RNA polymerase gene, complete cds.-table6-Narnaviridae-HMM381-613_24.0-ORF37
seq81	>nrnt-KX883624 Wenzhou narna-like virus 10 strain WZSLuoI82025 RNA-dependent RNA polymerase gene, partial cds.-table1-Narnaviridae-HMM622-763_18.0-ORF25
seq82	>nrnt-KX883605 Wenling narna-like virus 8 strain WLJQ103992 RNA-dependent RNA polymerase gene, partial cds; and hypothetical protein gene, complete cds.-table1-Narnaviridae-HMM333-568_25.0-ORF30
seq83	>nrnt-KX883586 Hubei narna-like virus 14 strain WHCCII12614 RNA-dependent RNA polymerase and hypothetical protein genes, partial cds.-table6-Narnaviridae-HMM272-469_30.0-ORF18
seq84	>nrnt-KX883583 Hubei narna-like virus 1 strain WHCC258047 RNA-dependent RNA polymerase gene, partial cds.-table6-Narnaviridae-HMM481-639_16.0-ORF33
seq85	>nrnt-KX883567 Sanxia narna-like virus 2 strain SXXX45823 RNA-dependent RNA polymerase gene, partial cds.-table1-Narnaviridae-HMM384-556_30.0-ORF16
seq86	>nrnt-KX883556 Shahe narna-like virus 4 strain SHWC0209c11478 RNA-dependent RNA polymerase gene, partial cds.-table1-Narnaviridae-HMM343-577_26.0-ORF35
seq87	>nrnt-KX883554 Shahe narna-like virus 6 strain SHWC0209c11783 RNA-dependent RNA polymerase gene, partial cds.-table1-Narnaviridae-HMM249-491_33.0-ORF15
seq88	>nrnt-KX883548 Hubei narna-like virus 20 strain SCM42484 RNA-dependent RNA polymerase gene, partial cds; and hypothetical protein gene, complete cds.-table1-Narnaviridae-HMM239-522_37.0-ORF24
seq89	>nrnt-KX883526 Hubei narna-like virus 16 strain fly55630 hypothetical protein gene, partial cds.-table6-Narnaviridae-HMM365-574_24.0-ORF16
seq90	>nrnt-KX883519 Changjiang narna-like virus 5 strain CJLX30442 RNA-dependent RNA polymerase gene, partial cds.-table1-Narnaviridae-HMM277-518_31.0-ORF23
seq91	>nrnt-KX883504 Beihai narna-like virus 7 strain BHZC36598 RNA-dependent RNA polymerase gene, partial cds.-table1-Narnaviridae-HMM428-574_17.0-ORF34
seq92	>nrnt-KX883471 Beihai narna-like virus 25 strain BHJJX25414 RNA-dependent RNA polymerase gene, partial cds.-table1-Narnaviridae-HMM305-579_32.0-ORF29
seq93	>nrnt-KX883462 Wenzhou narna-like virus 11 strain beimix75822 RNA-dependent RNA polymerase gene, partial cds.-table1-Narnaviridae-HMM557-707_19.0-ORF30
seq94	>nrnt-KF298275 Uncultured virus isolate acc_9.10 putative RNA-dependent RNA polymerase-like protein and hypothetical protein genes, partial cds.-table1-Narnaviridae-HMM194-435_28.0-ORF33
seq95	>nrnt-MG659316 Leptosphaeria biglobosa mitovirus 1, complete genome.-table4-Narnaviridae-HMM141-509_48.0-ORF22
seq96	>nrnt-MG721540 Beta vulgaris mitovirus 1 strain BevuMV1-VDH66156 RNA-dependent RNA polymerase (RdRp) gene, complete cds.-table4-Narnaviridae-HMM335-580_29.0-ORF29
seq97	>ref-NC_037054 Erysiphe necator mitovirus 1 isolate gpm 4 RNA-dependent RNA polymerase gene, complete cds.-table4-Narnaviridae-HMM156-557_52.0-ORF27
seq98	>nrnt-MG256176 Gigaspora margarita mitovirus 4 isolate GmMV4-BEG34, complete genome.-table6-Narnaviridae-HMM506-778_26.0-ORF27
seq99	>nrnt-MG256175 Gigaspora margarita mitovirus 3 isolate GmMV3-BEG34, complete genome.-table6-Narnaviridae-HMM500-771_26.0-ORF35
seq100	>nrnt-MG256174 Gigaspora margarita mitovirus 2 isolate GmMV2-BEG34, complete genome.-table6-Narnaviridae-HMM448-695_23.0-ORF35
seq101	>nrnt-MG256173 Gigaspora margarita mitovirus 1 isolate GmMV1-BEG34, complete genome.-table6-Narnaviridae-HMM312-571_29.0-ORF30
seq102	>nrnt-KU291923 Ceratobasidium mitovirus A isolate Murdoch-1 RNA-dependent RNA polymerase gene, complete cds.-table6-Narnaviridae-HMM242-580_37.0-ORF34
seq103	>nrnt-MF190054 Barns Ness serrated wrack narna-like virus 3 isolate H23, partial genome.-table1-Narnaviridae-HMM81-430_55.0-ORF16
seq104	>nrnt-MF190053 Barns Ness serrated wrack narna-like virus 2 isolate Y51, partial genome.-table1-Narnaviridae-HMM237-353_32.0-ORF8
seq105	>nrnt-MF190052 Barns Ness serrated wrack narna-like virus 1 isolate L81, partial genome.-table6-Narnaviridae-HMM223-473_39.0-ORF23
seq106	>nrnt-MF190046 Barns Ness dog whelk narna-like virus 1 isolate C51, partial genome.-table4-Narnaviridae-HMM222-450_30.0-ORF25
seq107	>nrnt-MF190033 Barns Ness breadcrumb sponge narna-like virus 7 isolate Q42, partial genome.-table1-Narnaviridae-HMM38-259_47.0-ORF16
seq108	>nrnt-MF190030 Barns Ness breadcrumb sponge narna-like virus 4 isolate V28, partial genome.-table1-Narnaviridae-HMM345-575_25.0-ORF34
seq109	>nrnt-MF190029 Barns Ness breadcrumb sponge narna-like virus 3 isolate X43, partial genome.-table1-Narnaviridae-HMM127-384_46.0-ORF19
seq110	>nrnt-MF190028 Barns Ness breadcrumb sponge narna-like virus 2 isolate O92, partial genome.-table1-Narnaviridae-HMM192-400_47.0-ORF15
seq111	>nrnt-MF190027 Barns Ness breadcrumb sponge narna-like virus 1 isolate N100, partial genome.-table6-Narnaviridae-HMM244-491_29.0-ORF26
seq112	>nrnt-KY357500 Agaricus bisporus mitovirus 1 isolate AbMV1-1283, partial sequence.-table4-Narnaviridae-HMM135-516_39.0-ORF42
seq113	>nrnt-LT593139 Magnaporthe oryzae ourmia-like virus RdRp gene for RNA dependent RNA polymerase.-table4-Narnaviridae-HMM232-445_33.0-ORF23
seq114	>nrnt-KU935604 Leptomonas seymouri Narna-like virus 1 segment L, complete sequence.-table6-Narnaviridae-HMM380-612_24.0-ORF35
seq115	>nrnt-KT598247 Soybean leaf-associated ourmiavirus 2 isolate SaOurV2-1, partial sequence.-table4-Narnaviridae-HMM251-456_40.0-ORF18
seq116	>nrnt-KT598246 Soybean leaf-associated mitovirus 4 isolate SaMitV4-1, partial sequence.-table4-Narnaviridae-HMM132-473_71.0-ORF14
seq117	>nrnt-KT598240 Soybean leaf-associated mitovirus 3 isolate SaMitV3-1, partial sequence.-table6-Narnaviridae-HMM201-517_43.0-ORF23
seq118	>nrnt-KT598238 Soybean leaf-associated mitovirus 1 isolate SaMitV1-1, partial sequence.-table4-Narnaviridae-HMM155-511_48.0-ORF24
seq119	>nrnt-KT598237 Soybean leaf-associated mitovirus 5 isolate SaMitV5-1, partial sequence.-table4-Narnaviridae-HMM159-576_53.0-ORF31
seq120	>nrnt-KT598235 Soybean leaf-associated ourmiavirus 1 isolate SaOurV1-1, partial sequence.-table6-Narnaviridae-HMM231-474_30.0-ORF26
seq121	>nrnt-KT823703 Macrophomina phaseolina mitovirus 3 isolate MpMit-Illinois1 putative replicase gene, complete cds.-table6-Narnaviridae-HMM481-729_22.0-ORF43
seq122	>nrnt-KP900929 Sclerotinia sclerotiorum ourmia-like virus 2 RNA 1 isolate 291 RNA-dependent RNA polymerase gene, partial cds.-table4-Narnaviridae-HMM166-368_29.0-ORF24
seq123	>nrnt-KP900928 Sclerotinia sclerotiorum ourmia-like virus 1 RNA 1 isolate 334 RNA-dependent RNA polymerase gene, complete cds.-table6-Narnaviridae-HMM237-484_33.0-ORF29
seq124	>nrnt-KP900924 Sclerotinia sclerotiorum mitovirus 17 isolate 260 RNA-dependent RNA polymerase gene, complete cds.-table4-Narnaviridae-HMM189-523_46.0-ORF33
seq125	>nrnt-KP900921 Rhizoctonia solani ourmia-like virus 1 RNA 1 isolate RsAG2 RNA-dependent RNA polymerase gene, partial cds.-table6-Narnaviridae-HMM219-421_27.0-ORF18
seq126	>nrnt-KP900918 Rhizoctonia solani mitovirus 9 isolate ER-4 RNA-dependent RNA polymerase gene, partial cds.-table4-Narnaviridae-HMM343-566_39.0-ORF32
seq127	>nrnt-KP900917 Rhizoctonia solani mitovirus 8 isolate Rs1018a RNA-dependent RNA polymerase gene, complete cds.-table4-Narnaviridae-HMM367-605_25.0-ORF45
seq128	>nrnt-KP900916 Rhizoctonia solani mitovirus 7 isolate k-4-186b RNA-dependent RNA polymerase gene, partial cds.-table6-Narnaviridae-HMM280-537_28.0-ORF27
seq129	>nrnt-KP900915 Rhizoctonia solani mitovirus 6 isolate ER-196 RNA-dependent RNA polymerase gene, complete cds.-table6-Narnaviridae-HMM243-617_43.0-ORF24
seq130	>nrnt-KP900914 Rhizoctonia solani mitovirus 5 isolate 42304-9e RNA-dependent RNA polymerase gene, partial cds.-table6-Narnaviridae-HMM355-583_38.0-ORF26
seq131	>nrnt-KP900913 Rhizoctonia solani mitovirus 4 isolate W2-2-20 RNA-dependent RNA polymerase gene, partial cds.-table6-Narnaviridae-HMM329-596_44.0-ORF29
seq132	>nrnt-KP900912 Rhizoctonia solani mitovirus 3 isolate 42304-9d RNA-dependent RNA polymerase gene, partial cds.-table4-Narnaviridae-HMM136-502_48.0-ORF25
seq133	>nrnt-KP900911 Rhizoctonia solani mitovirus 2 isolate W2-2-15b RNA-dependent RNA polymerase gene, complete cds.-table6-Narnaviridae-HMM304-572_31.0-ORF24
seq134	>nrnt-KP900910 Rhizoctonia solani mitovirus 15 isolate K-IL-s02-3-25b RNA-dependent RNA polymerase gene, complete cds.-table4-Narnaviridae-HMM450-681_23.0-ORF50
seq135	>nrnt-KP900909 Rhizoctonia solani mitovirus 14 isolate 42304-9c RNA-dependent RNA polymerase gene, partial cds.-table6-Narnaviridae-HMM443-713_25.0-ORF37
seq136	>nrnt-KP900908 Rhizoctonia solani mitovirus 13 isolate EV-6 RNA-dependent RNA polymerase gene, complete cds.-table6-Narnaviridae-HMM337-467_13.0-ORF27
seq137	>nrnt-KP900907 (REVERSE SENSE) Rhizoctonia solani mitovirus 12 isolate NBK-IL-5 RNA-dependent RNA polymerase gene, complete cds.-table4-Narnaviridae-HMM232-579_44.0-ORF91
seq138	>nrnt-KP900906 Rhizoctonia solani mitovirus 11 isolate 42304-9b RNA-dependent RNA polymerase gene, complete cds.-table6-Narnaviridae-HMM480-749_25.0-ORF30
seq139	>nrnt-KP900905 Rhizoctonia solani mitovirus 1 isolate k-4-186a RNA-dependent RNA polymerase gene, partial cds.-table6-Narnaviridae-HMM482-566_14.0-ORF29
seq140	>nrnt-KP900896 Rhizoctonia solani mitovirus 10 isolate W2-2-20a RNA-dependent RNA polymerase gene, partial cds.-table4-Narnaviridae-HMM220-567_46.0-ORF28
seq141	>nrnt-KP900895 Macrophomina phaseolina mitovirus 2 isolate TN263a RNA-dependent RNA polymerase gene, partial cds.-table6-Narnaviridae-HMM202-484_37.0-ORF17
seq142	>nrnt-KF913891 Sclerotinia sclerotiorum mitovirus 16 RNA-dependent RNA polymerase (gp1) gene, partial cds.-table4-Narnaviridae-HMM94-432_75.0-ORF14
seq143	>nrnt-KF913890 Sclerotinia sclerotiorum mitovirus 15 RNA-dependent RNA polymerase (gp1) gene, complete cds.-table4-Narnaviridae-HMM249-561_39.0-ORF26
seq144	>nrnt-KF913888 Sclerotinia sclerotiorum mitovirus 13 RNA-dependent RNA polymerase (gp1) gene, partial cds.-table4-Narnaviridae-HMM149-382_60.0-ORF16
seq145	>nrnt-KF913887 Sclerotinia sclerotiorum mitovirus 12 RNA-dependent RNA polymerase (gp1) gene, complete cds.-table4-Narnaviridae-HMM180-524_49.0-ORF37
seq146	>nrnt-KF913886 Sclerotinia sclerotiorum mitovirus 11 RNA-dependent RNA polymerase (gp1) gene, complete cds.-table4-Narnaviridae-HMM216-583_47.0-ORF26
seq147	>nrnt-KF913884 Sclerotinia sclerotiorum mitovirus 9 RNA-dependent RNA polymerase (gp1) gene, complete cds.-table4-Narnaviridae-HMM133-479_49.0-ORF28
seq148	>nrnt-KF913882 Sclerotinia sclerotiorum mitovirus 7 RNA-dependent RNA polymerase (gp1) gene, complete cds.-table4-Narnaviridae-HMM202-535_46.0-ORF32
seq149	>nrnt-KF913881 Sclerotinia sclerotiorum mitovirus 6 RNA-dependent RNA polymerase (gp1) gene, complete cds.-table4-Narnaviridae-HMM183-558_50.0-ORF36
seq150	>nrnt-KC601998 Sclerotinia sclerotiorum mitovirus 9 isolate IL1 Pol gene, partial cds.-table4-Narnaviridae-HMM136-426_68.0-ORF25
seq151	>nrnt-KP900926 Sclerotinia sclerotiorum mitovirus 19 isolate 178 RNA-dependent RNA polymerase gene, complete cds.-table4-Narnaviridae-HMM151-497_49.0-ORF38
seq152	>nrnt-KP705075 Alternaria brassicicola mitovirus strain AB1, complete genome.-table4-Narnaviridae-HMM127-499_51.0-ORF17
seq153	>nrnt-KJ636844 (REVERSE SENSE) Leucostoma persoonii mitovirus 1 RNA-dependent RNA polymerase gene, partial cds.-table1-Narnaviridae-HMM17-169_89.0-ORF26
seq154	>nrnt-KP642119 Narnaviridae environmental sample clone sraf.cpip_contig2643 RNA-dependent RNA polymerase gene, complete cds.-table6-Narnaviridae-HMM359-603_23.0-ORF21
seq155	>nrnt-KC792591 Rhizoctonia mitovirus 1 RS002 RNA-dependent RNA polymerase gene, complete cds.-table6-Narnaviridae-HMM218-572_41.0-ORF25
seq156	>nrnt-KJ873059 Heterobasidion mitovirus 1 strain an1 RNA-dependent RNA polymerase gene, complete cds.-table4-Narnaviridae-HMM343-616_32.0-ORF45
seq157	>nrnt-KJ667051 Hymenoscyphus fraxineus mitovirus 1 isolate c402_C436_revcomp RNA-dependent RNA polymerase (RdRp) gene, complete cds.-table4-Narnaviridae-HMM174-494_44.0-ORF34
seq158	>nrnt-KJ462513 Sclerotinia sclerotiorum mitovirus 6 isolate Lu471 RNA-dependent RNA polymerase gene, complete cds.-table4-Narnaviridae-HMM214-564_46.0-ORF31
seq159	>nrnt-KJ462510 Sclerotinia sclerotiorum mitovirus 5 isolate 14563 RNA-dependent RNA polymerase gene, complete cds.-table4-Narnaviridae-HMM129-505_52.0-ORF29
seq160	>nrnt-KM517201 Rhizoctonia cerealis mitovirus isolate R1084 RNA-dependent RNA polymerase gene, complete cds.-table6-Narnaviridae-HMM341-710_35.0-ORF30
seq161	>nrnt-KJ920222 Leucostoma cinctum mitovirus 2 RNA-dependent RNA polymerase (RdRp) gene, partial cds.-table1-Narnaviridae-HMM4-95_75.0-ORF18
