seq1	>ref-NC_002024.2 Alfalfa mosaic virus RNA 2, complete sequence-table4-Bromoviridae-HMM323-767_52.0-ORF30
seq64	>tsa-GDKE01027232.1 TSA: Cuscuta gronovii cg_c55104 transcribed RNA sequence-table6-Bromoviridae-HMM59-110_26.0-ORF8
seq65	>tsa-GDKE01029366.1 (REVERSE SENSE) TSA: Cuscuta gronovii cg_c7 transcribed RNA sequence-table4-Bromoviridae-HMM1-165_55.0-ORF29
seq66	>tsa-GDKE01030869.1 (REVERSE SENSE) TSA: Cuscuta gronovii cg_c9524 transcribed RNA sequence-table6-Bromoviridae-HMM95-190_45.0-ORF24
seq67	>tsa-GDKD01021252.1 (REVERSE SENSE) TSA: Cuscuta reflexa cr_c177 transcribed RNA sequence-table4-Bromoviridae-HMM314-755_56.0-ORF64
seq68	>tsa-GDKD01029779.1 TSA: Cuscuta reflexa cr_c40454 transcribed RNA sequence-table6-Bromoviridae-HMM12-94_61.0-ORF6
seq69	>tsa-GDKD01035375.1 TSA: Cuscuta reflexa cr_c550 transcribed RNA sequence-table6-Bromoviridae-HMM41-433_85.0-ORF31
seq70	>tsa-GDKD01037389.1 TSA: Cuscuta reflexa cr_c60685 transcribed RNA sequence-table6-Bromoviridae-HMM3-200_89.0-ORF9
seq71	>tsa-GBDN01023436.1 TSA: Dahlia pinnata Locus_27747_Transcript_1/1_Confidence_1.000_Length_2876 transcribed RNA sequence-table4-Bromoviridae-HMM251-699_48.0-ORF32
seq72	>tsa-GEPY01036973.1 TSA: Eulimnogammarus czerskii c62732_g2_i1 transcribed RNA sequence-table1-Bromoviridae-HMM17-125_85.0-ORF3
seq73	>tsa-GALQ01045490.1 (REVERSE SENSE) TSA: gut metagenome Locus390v1rpkm421.37 transcribed RNA sequence-table1-Bromoviridae-HMM7-90_92.0-ORF7
seq74	>tsa-GALQ01083523.1 (REVERSE SENSE) TSA: gut metagenome Locus351v1rpkm447.09 transcribed RNA sequence-table1-Bromoviridae-HMM16-72_77.0-ORF8
seq75	>tsa-GALT01083862.1 (REVERSE SENSE) TSA: gut metagenome Locus526v1rpkm303.20 transcribed RNA sequence-table1-Bromoviridae-HMM2-66_95.0-ORF6
seq76	>tsa-GFPE01069843.1 (REVERSE SENSE) TSA: Holacanthella duospinosa c114147_g1_i1 transcribed RNA sequence-table1-Bromoviridae-HMM2-122_90.0-ORF10
seq77	>tsa-GFPE01073448.1 (REVERSE SENSE) TSA: Holacanthella duospinosa c124493_g1_i1 transcribed RNA sequence-table1-Bromoviridae-HMM3-112_96.0-ORF11
seq78	>tsa-GFPE01082103.1 (REVERSE SENSE) TSA: Holacanthella duospinosa c164547_g1_i1 transcribed RNA sequence-table1-Bromoviridae-HMM113-319_64.0-ORF26
seq79	>tsa-GAAW01025667.1 TSA: Humulus lupulus comp40457_c1_seq1 mRNA sequence-table6-Bromoviridae-HMM70-516_73.0-ORF19
seq80	>tsa-GDAT01000374.1 (REVERSE SENSE) TSA: Lolium perenne Contig374 transcribed RNA sequence-table1-Bromoviridae-HMM28-113_70.0-ORF12
seq81	>tsa-GAFF01137455.1 TSA: Medicago sativa comp71830_c0_seq1 mRNA sequence-table4-Bromoviridae-HMM326-770_54.0-ORF32
seq82	>tsa-GAFF01137456.1 TSA: Medicago sativa comp71830_c0_seq2 mRNA sequence-table4-Bromoviridae-HMM2-271_84.0-ORF14
seq83	>tsa-GAFF01137457.1 TSA: Medicago sativa comp71830_c0_seq3 mRNA sequence-table4-Bromoviridae-HMM1-164_77.0-ORF8
seq84	>tsa-GBVK01007965.1 (REVERSE SENSE) TSA: Melitta haemorrhoidalis C53677_a_6_0_l_338 transcribed RNA sequence-table1-Bromoviridae-HMM1-111_98.0-ORF10
seq85	>tsa-GCVO01035482.1 (REVERSE SENSE) TSA: Pardosa pseudoannulata comp51997_c0_seq2 transcribed RNA sequence-table4-Bromoviridae-HMM127-218_40.0-ORF25
seq86	>tsa-GCVT01035482.1 (REVERSE SENSE) TSA: Pardosa pseudoannulata comp51997_c0_seq2 transcribed RNA sequence-table4-Bromoviridae-HMM127-218_40.0-ORF25
seq87	>tsa-GFFQ01112471.1 TSA: Phlox roemeriana Roem@c47579_g1_i1 transcribed RNA sequence-table6-Bromoviridae-HMM9-159_83.0-ORF5
seq88	>tsa-GBPO01005418.1 TSA: Pison atrum C33661_a_3_0_l_309 transcribed RNA sequence-table1-Bromoviridae-HMM2-102_98.0-ORF3
seq89	>tsa-HAEW01052722.1 TSA: Proasellus ebrensis, contig c35795_g2_i3, transcribed RNA sequence-table1-Bromoviridae-HMM8-101_86.0-ORF4
seq90	>tsa-GAIA01025339.1 (REVERSE SENSE) TSA: Salicornia europaea Unigene27217_Se200S transcribed RNA sequence-table1-Bromoviridae-HMM1-109_99.0-ORF11
seq91	>tsa-GAIA01040266.1 TSA: Salicornia europaea Unigene45224_Se200S transcribed RNA sequence-table1-Bromoviridae-HMM2-91_97.0-ORF2
seq92	>tsa-GAIA01066098.1 TSA: Salicornia europaea Unigene79312_Se200S transcribed RNA sequence-table1-Bromoviridae-HMM137-207_33.0-ORF7
seq93	>tsa-GAMI01043832.1 (REVERSE SENSE) TSA: Salicornia europaea Unigene48901_SeCKR transcribed RNA sequence-table1-Bromoviridae-HMM1-82_96.0-ORF9
seq94	>tsa-GAMI01053187.1 (REVERSE SENSE) TSA: Salicornia europaea Unigene61517_SeCKR transcribed RNA sequence-table1-Bromoviridae-HMM3-67_90.0-ORF7
